target_address,target_offset,proposed_name,original_name_claim,namespace,prototype,category,confidence,evidence_type,source_repo,source_file,source_address,source_version,expected_bytes,signature,validated_on_target,validation_method,notes
0x004919BC,0x003919BC,EggHatching_Related_004919BC,no,,undefined1 function(int),egg hatching,BEHAVIOR_CONFIRMED,instant-hatch hook site,AnalogMan151/sumoCheatMenu,Sources/pokemon_modifiers.c,0x004919E0,SM 1.0,0400A0E1,0400A0E1,yes,exact target instruction and enclosing function,Hook callsite is function+0x24
0x004A7008,0x003A7008,Savedata::QRReaderSaveData::IsRegisteredData,yes,Savedata::QRReaderSaveData,undefined4 IsRegisteredData(QRReaderSaveData *this CtrHeapBase *heap void const *data uint size),QR savedata,CONFIRMED_SYMBOL,CTR named export plus source declaration,SciresM/SunMoonPatches,FunctionStubs.s,0x004A7008,SM 1.0,F0472DE920D04DE20140A0E1,F0472DE920D04DE20140A0E1,yes,CTR export exact bytes and decompilation,Compares SHA-like 32-byte records
0x004A847C,0x003A847C,Savedata::MyStatus::IsMyPokemon,yes,Savedata::MyStatus,undefined4 IsMyPokemon(MyStatus *this CoreParam const *pokemon),Pokemon ownership,CONFIRMED_SYMBOL,CTR named export and rename-any patch context,AnalogMan151/sumoCheatMenu,Sources/pokemon_modifiers.c,0x004A84F8,SM 1.0,0500A0E1,0500A0E1,yes,CTR export exact patch-site bytes and decompilation,Cheat name RenameAnyPokemon is behavior only
0x0031747C,0x0021747C,EggMechanicsSetup_0031747C,no,,CoreParam* function(HeapContext* CoreParam* CoreParam* EggGenerateContext*),daycare,BEHAVIOR_CONFIRMED,sole wrapper call plus complete decompilation,local Ghidra analysis,,0x0031747C,Moon base v1.0,,,yes,call graph and data-flow analysis,Semantic researcher name only; retain FUN_0031747c in Ghidra
0x00317C94,0x00217C94,CreateEggPokemon_00317C94,no,,PokemonParam* function(HeapContext* CoreParam* CoreParam* EggGenerateContext*),daycare,BEHAVIOR_CONFIRMED,sole EggAdopt call and exact wrapper construction flow,local Ghidra analysis,,0x00317C94,Moon base v1.0,,,yes,ARM decompilation and caller/callee analysis,Semantic researcher name only; retain FUN_00317c94 in Ghidra
0x00358FA4,0x00258FA4,gfl2::math::Random::Initialize,yes,gfl2::math,void Initialize(Random* this Random::State state),TinyMT,CONFIRMED_SYMBOL,CTR recovered symbol and exact data layout,local Ghidra analysis,,0x00358FA4,Moon base v1.0,,,yes,ARM and structure analysis,Initializes four status words and fixed TinyMT parameters
0x003590D8,0x002590D8,gfl2::math::Random::Next,yes,gfl2::math,uint Next(Random* this uint limit),TinyMT,CONFIRMED_SYMBOL,CTR recovered symbol and standard TinyMT operation,local Ghidra analysis,,0x003590D8,Moon base v1.0,,,yes,ARM and call-site analysis,Returns raw output modulo limit through __aeabi_uidivmod
0x00359158,0x00259158,RandomNext32_TinyMT,no,gfl2::math,uint Next(Random* this),TinyMT,ALGORITHM_CONFIRMED,exact standard TinyMT transition and adjacency to named overloads,local Ghidra analysis,,0x00359158,Moon base v1.0,,,yes,ARM instruction and state-layout analysis,AI semantic name; original symbol is absent
0x003591D4,0x002591D4,gfl2::math::Random::SaveState,yes,gfl2::math,Random::State SaveState(Random const* this),TinyMT,CONFIRMED_SYMBOL,CTR recovered symbol and exact VFP state copy,local Ghidra analysis,,0x003591D4,Moon base v1.0,,,yes,ARM ABI and data-flow analysis,Returns the four mutable status words by hidden structure-return pointer
0x00385AB8,0x00285AB8,Field::FieldSodateya::EggAdopt,yes,Field::FieldSodateya,CoreParam* EggAdopt(FieldSodateya* this SodateyaID id),daycare,CONFIRMED_SYMBOL,CTR recovered symbol and complete decompilation,local Ghidra analysis,,0x00385AB8,Moon base v1.0,,,yes,call graph and data-flow analysis,Full-storage early return leaves egg and RNG untouched
0x00444BFC,0x00344BFC,Savedata::Sodateya::EggClear,yes,Savedata::Sodateya,void EggClear(Sodateya* this SodateyaID id),daycare,CONFIRMED_SYMBOL,CTR recovered symbol and exact record writes,local Ghidra analysis,,0x00444BFC,Moon base v1.0,,,yes,ARM decompilation and reconstructed compile,Advances persisted TinyMT once then clears byte at record +0x1E0
0x00317F24,0x00217F24,pml::pokepara::PokemonParam::PokemonParam,yes,pml::pokepara::PokemonParam,PokemonParam* PokemonParam(PokemonParam* this void* heap CoreParam const* source),Pokemon representation,CONFIRMED_SYMBOL,CTR recovered constructor symbol plus exact allocation/copy flow,local Ghidra analysis,,0x00317F24,Moon base v1.0,,,yes,call graph and data-flow analysis,Adds 0x1C party extension to copied 0xE8 boxed payload
0x00318258,0x00218258,Pk7Checksum16_00318258,no,,ushort function(ushort* data uint size),Pokemon representation,ALGORITHM_CONFIRMED,exact additive 16-bit checksum loop,local Ghidra analysis,,0x00318258,Moon base v1.0,,,yes,ARM and call-site analysis,Semantic name only; retain FUN_00318258 in Ghidra
0x003182B8,0x002182B8,Pk7DecryptXor_003182B8,no,,void function(void* data uint size uint seed),Pokemon representation,ALGORITHM_CONFIRMED,exact LCRNG XOR loop and decrypt-side call sites,local Ghidra analysis,,0x003182B8,Moon base v1.0,,,yes,ARM and call-site analysis,Semantic name only; retain FUN_003182b8 in Ghidra
0x00318300,0x00218300,Pk7EncryptXor_00318300,no,,void function(void* data uint size uint seed),Pokemon representation,ALGORITHM_CONFIRMED,exact LCRNG XOR loop and encrypt-side call sites,local Ghidra analysis,,0x00318300,Moon base v1.0,,,yes,ARM and call-site analysis,Semantic name only; retain FUN_00318300 in Ghidra
0x003186E0,0x002186E0,PopulateBoxData_003186E0,no,,void function(BoxData* output EggConstructionData* input),Pokemon representation,BEHAVIOR_CONFIRMED,complete setter flow from egg fields into boxed payload,local Ghidra analysis,,0x003186E0,Moon base v1.0,,,yes,call graph and data-flow analysis,Semantic name only; retain FUN_003186e0 in Ghidra
0x00318C64,0x00218C64,CreateBoxData_00318C64,no,,BoxData* function(void* heap EggConstructionData* input),Pokemon representation,BEHAVIOR_CONFIRMED,exact 0xE8 allocation normalization and population flow,local Ghidra analysis,,0x00318C64,Moon base v1.0,,,yes,call graph and data-flow analysis,Semantic name only; retain FUN_00318c64 in Ghidra
